model,base_size,notes
Archon,unknown,""
Haemonculus,unknown,""
Kabalite Warrior,unknown,""
Kabalite Warrior with special weapon,unknown,""
Kabalite Warrior with heavy weapon (up to 1 for 10 models),unknown,""
Sybarite,unknown,""
Mandrake,unknown,""
Ravager,unknown,""
Razorwing Jetfighter,unknown,""
Arena Champion,unknown,""
Reaver,unknown,""
Reaver with special weapon (up to 1 for 3 models),unknown,""
Wracks,unknown,""
Acothyst,unknown,""
Wrack with special weapon (up to 1 for 5 models),unknown,""
Medusae,unknown,""
Sslyth,unknown,""
Grotesque with Monstrous Cleaver,unknown,""
Grotesque with Weapons of Torture (Index),unknown,""
Grotesque with Liquifier Gun,unknown,""
Hekatrix Bloodbride with Wych Weapon,unknown,""
Syren,unknown,""
Hekatrix Bloodbride,unknown,""
Cronos,unknown,""
Drazhar,unknown,""
Hellion,unknown,""
Helliarch,unknown,""
Incubi,unknown,""
Kabalite Trueborn,unknown,""
Kabalite Trueborn with Special Weapon,unknown,""
Trueborn with Heavy Weapon,unknown,""
Scourge w/ shardcarbine,unknown,""
Solarite,unknown,""
Scourge with Special / Heavy weapon,unknown,""
Talos,unknown,""
Wych with Wych Weapon,unknown,""
Hekatrix,unknown,""
Wych,unknown,""
Ur-Ghul,unknown,""
Reaper,unknown,""
Tantalus,unknown,""
