model,base_size,notes
Abaddon the Despoiler,unknown,""
Cultist Champion,unknown,""
Chaos Cultist w/ special weapon,unknown,""
Chaos Cultist w/ autopistol and brutal assault weapon,unknown,""
Chaos Cultist w/ Autogun,unknown,""
Chaos Land Raider,unknown,""
Chaos Lord,unknown,""
Chaos Predator,unknown,""
Chaos Terminator Champion,unknown,""
Terminator,unknown,""
Terminator w/ Heavy Weapon,unknown,""
Chaos Vindicator,unknown,""
Defiler,unknown,""
Fabius Bile,unknown,""
Surgeon Acolyte,unknown,""
Forgefiend,unknown,""
Heldrake,unknown,""
Huron Blackheart,unknown,""
Kharn the Betrayer,unknown,""
Berzerker Champion,unknown,""
Chainsword and Chainaxe,unknown,""
Berserker w/ plasma pistol,unknown,""
Chainsword and bolt pistol,unknown,""
Chainaxe and bolt pistol,unknown,""
Khorne Lord of Skulls,unknown,""
Lucius the Eternal,unknown,""
Maulerfiend,unknown,""
Mutilator,unknown,""
Obliterator,unknown,""
Plague Champion,unknown,""
Plague Marine w/ boltgun,unknown,""
Plague Marine w/ special weapon,unknown,""
Plague Marine w/ melee weapons,unknown,""
Sorcerer,unknown,""
Warp Talon,unknown,""
Warp Talon Champion,unknown,""
Warpsmith,unknown,""
Chaos Lord in Terminator Armour,unknown,""
Chaos Lord on Bike [LEGENDS],unknown,""
Chaos Lord on Disc of Tzeentch [LEGENDS],unknown,""
Chaos Lord on Juggernaut of Khorne [LEGENDS],unknown,""
Chaos Lord on Palanquin of Nurgle [LEGENDS],unknown,""
Chaos Lord on Steed of Slaanesh [LEGENDS],unknown,""
Chaos Lord with Jump Pack,unknown,""
Sorcerer in Terminator Armour,unknown,""
Sorcerer on Bike [LEGENDS],unknown,""
Sorcerer on Disc of Tzeentch [LEGENDS],unknown,""
Sorcerer on Palanquin of Nurgle [LEGENDS],unknown,""
Sorcerer on Steed of Slaanesh [LEGENDS],unknown,""
Sorcerer with Jump Pack,unknown,""
Aspiring Champion,unknown,""
Marine w/ Boltgun,unknown,""
Marine w/ Heavy or Special Weapon,unknown,""
Marine w/ Chainsword,unknown,""
Marine w/ Plasma pistol,unknown,""
Chosen Champion,unknown,""
Chosen,unknown,""
Chosen w/ Plasma pistol,unknown,""
Chosen w/ Heavy or Special weapon,unknown,""
Chosen w/ Lightning Claw,unknown,""
Chosen w/ Combi or Special weapon,unknown,""
Possessed,unknown,""
Helbrute,unknown,""
Chaos Rhino,unknown,""
Aspiring Champion,unknown,""
Havoc w/ heavy bolter,unknown,""
Havoc w/ autocannon,unknown,""
Havoc w/ reaper chaincannon,unknown,""
Noise Champion,unknown,""
Marine w/ boltgun,unknown,""
Marine w/ chainsword,unknown,""
Marine w/ Sonic blaster,unknown,""
Marine w/ Blastmaster,unknown,""
Aspiring Sorcerer,unknown,""
Rubric Marine w/ Inferno Boltgun,unknown,""
Rubric Marine w/ Warpflamer,unknown,""
Rubric Marine w/ Soulreaper cannon,unknown,""
Chaos Spawn,unknown,""
Biker,unknown,""
Biker Champion,unknown,""
Raptor Champion,unknown,""
Raptor,unknown,""
Raptor w/ plasma pistol,unknown,""
Raptor w/ special weapon,unknown,""
Chaos Bastion,unknown,""
Exalted Champion,unknown,""
Vrosh Tattersoul,unknown,""
Kranon the Relentless,unknown,""
Dzargon Draznicht,unknown,""
Chosen,unknown,""
Chosen,unknown,""
Chosen,unknown,""
Chosen,unknown,""
Chaos Hellwright,unknown,""
Chaos Hellwright on Dark Abeyant,unknown,""
Lord Arkos,unknown,""
Zhufor the Impaler,unknown,""
Haarken Worldclaimer,unknown,""
Obsidius Mallex,unknown,""
Master of Possession,unknown,""
Venomcrawler,unknown,""
Greater Possessed,unknown,""
Noctilith Crown,unknown,""
Master of Executions,unknown,""
Dark Disciple,unknown,""
