model,base_size,base_short_axis,base_shape,notes
Be'lakor,,,unknown,
Blood Throne,,,unknown,
Bloodcrusher,,,unknown,
Bloodhunter,,,unknown,
Bloodletter,25,,round,
Bloodreaper,,,unknown,
Bloodthirster of Unfettered Fury,60,,round,
Blue Horror,25,,round,
Pair of Brimstone Horrors,25,,round,
Pyrocaster,,,unknown,
Flamer,32,,round,
Flesh Hound,,,unknown,
Gore Hound,,,unknown,
Bloodmaster,,,unknown,
Lord of Change,60,,round,
Nurgling Swarms,40,,round,
Pink Horror,32,,round,
Screamer,,,flying,
Skarbrand,,,unknown,
Skull Cannon,,,unknown,
Skulltaker,,,unknown,
Bloodthirster of Insensate Rage,60,,round,
Wrath of Khorne Bloodthirster,60,,round,
Skullmaster,,,unknown,
Kairos Fateweaver,,,unknown,
The Changeling,,,unknown,
The Blue Scribes,,,unknown,
Changecaster,,,unknown,
Fluxmaster,,,unknown,
Fateskimmer,,,unknown,
Iridescent Horror,,,unknown,
Exalted Flamer,,,unknown,
Burning Chariot,,,unknown,
Epidemius,,,unknown,
Poxbringer,,,unknown,
Great Unclean One,60,,round,
Plaguebearer,25,,round,
Plagueridden,,,unknown,
Beast of Nurgle,60,,round,
Plague Drone,,,unknown,
Plaguebringer,,,unknown,
The Masque of Slaanesh,,,unknown,
Keeper of Secrets,60,,round,
Herald of Slaanesh,25,,round,
Herald of Slaanesh on Steed [Legends],,,unknown,
Herald of Slaanesh on Seeker Chariot,,,unknown,
Herald of Slaanesh on Exalted Seeker Chariot,,,unknown,
Daemonette,25,,round,
Alluress,,,unknown,
Fiend,40,,round,
Blissbringer,,,unknown,
Hellflayer,,,unknown,
Seeker Chariot,,,unknown,
Heartseeker,,,unknown,
Exalted Seeker Chariot,,,unknown,
Daemon Prince of Chaos,40,,round,
Fury,25,,round,
Soul Grinder,,,unknown,
An'ggrath the Unbound,,,unknown,
Uraka the Warfiend,,,unknown,
Samus,,,unknown,
Aetaos'rau'keres,,,unknown,
Zarakynel,,,unknown,
Mamon Transfigured,,,unknown,
Cor'bax Utterblight,,,unknown,
Plague Toad,,,unknown,
Pox Rider,,,unknown,
Spined Chaos Beast,,,unknown,
Giant Chaos Spawn,,,unknown,
Scabeiathrax the Bloated,,,unknown,
Seeker,,,unknown,
Horticulus Slimux,,,unknown,
Sloppity Bilepiper,,,unknown,
Spoilpox Scrivener,,,unknown,
Feculent Gnarlmaw,,,unknown,
Plague Hulk of Nurgle,,,unknown,
Infernal Enrapturess,,,unknown,
Syll'Esske,,,unknown,
Shalaxi Helbane,,,unknown,
Contorted Epitome,,,unknown,
Herald of Slaanesh on Hellflayer,,,unknown,
