model,base_size,base_short_axis,base_shape,notes
Custodian,,,unknown,
Venerable Contemptor Dreadnought,,,unknown,
Venerable Land Raider,,,unknown,
Captain-General Trajann Valoris,,,unknown,
Shield-Captain,,,unknown,
Shield Captain in Allarus Terminator Armor,,,unknown,
Shield-Captain on Dawneagle Jetbike,,,unknown,
Vexillus Praetor,,,unknown,
Warden,,,unknown,
Vexillus Praetor in Allarus Terminator Armor,,,unknown,
Allarus Custodian,,,unknown,
Vertus Praetor,,,unknown,
Contemptor-Achillus Dreadnought,,,unknown,
Caladius Grav-tank,,,unknown,
Coronus Grav-Carrier,,,unknown,
Telemon Heavy Dreadnought,,,unknown,
Aquilon Custodian,,,unknown,
Custodian,,,unknown,
