model,base_size,base_short_axis,base_shape,notes
Tech-Priest Dominus,,,unknown,
Tech-Priest Enginseer,,,unknown,
Cybernetica Datasmith,,,unknown,
Onager Dunecrawler,,,unknown,
Corpuscarii Electro-Priest,,,unknown,
Ironstrider Ballistarius,,,unknown,
Kastelan Robot,,,unknown,
Kataphron Breacher,,,unknown,
Kataphron Destroyer,,,unknown,
Secutarii Hoplite,,,unknown,
Hoplite Alpha,,,unknown,
Secutarii Peltast,,,unknown,
Peltast Alpha,,,unknown,
Servitor (Heavy Bolter),,,unknown,
Servitor (Multi-Melta),,,unknown,
Servitor (Plasma Cannon),,,unknown,
Sicarian Infiltrator (Flechette/Taser),,,unknown,
Infiltrator Princeps (Flechette/Taser),,,unknown,
Sicarian Infiltrator (Stub/Sword),,,unknown,
Ruststalker Princeps (Razor),,,unknown,
Sicarian Ruststalker (Blades),,,unknown,
Sicarian Ruststalker (Razor/Chordclaw),,,unknown,
Ranger Alpha,,,unknown,
Skitarii Ranger,,,unknown,
Skitarii Ranger (Arc Rifle),,,unknown,
Skitarii Ranger (Plasma caliver),,,unknown,
Skitarii Ranger (Transuranic Arquebus),,,unknown,
Vanguard Alpha,,,unknown,
Skitarii Vanguard,,,unknown,
Skitarii Vanguard (Arc Rifle),,,unknown,
Skitarii Vanguard (Transuranic Arquebus),,,unknown,
Skitarii Vanguard (Plasma Caliver),,,unknown,
Sydonian Dragoon,,,unknown,
Fulgurite Electro-Priest,,,unknown,
Servitor (Servo arm),,,unknown,
Tech-Priest Manipulus,,,unknown,
Skorpius Dunerider,,,unknown,
Daedalosus,,,unknown,
X-101,,,unknown,
Infiltrator Princeps (Stub/Sword),,,unknown,
Ruststalker Princeps (Blades),,,unknown,
Archaeopter Stratoraptor,,,unknown,
Archaeopter Transvector,,,unknown,
Archaeopter Fusilave,,,unknown,
Serberys Raider,,,unknown,
Serberys Raider Alpha,,,unknown,
Pteraxii Skystalker,,,unknown,
Pteraxii Skystalker Alpha,,,unknown,
Pteraxii Sterylizor,,,unknown,
Serberys Sulphurhound (Pistols),,,unknown,
Serberys Sulphurhound Alpha,,,unknown,
Serberys Sulphurhound (Carbine),,,unknown,
