model,base_size,base_short_axis,base_shape,notes
Sister Superior,,,unknown,
Battle Sister w/ Special Weapon,,,unknown,
Battle Sister w/ Special or Heavy Weapon,,,unknown,
Battle Sister,,,unknown,
Battle Sister w/ Simulacrum,,,unknown,
Canoness,,,unknown,
Dominion Superior,,,unknown,
Dominion,,,unknown,
Dominion w/ Special Weapon,,,unknown,
Dominion w/ Simulacrum,,,unknown,
Penitent Engine,,,unknown,
Sisters Repentia,,,unknown,
Retributor Superior,,,unknown,
Retributor,,,unknown,
Retributor w/ Heavy Weapon,,,unknown,
Retributor w/ Simulacrum,,,unknown,
Repentia Superior,,,unknown,
Endurant,,,unknown,
Arco Flagellant,,,unknown,
Crusaders,,,unknown,
Death Cult Assassins,,,unknown,
Seraphim Superior,,,unknown,
Seraphim,,,unknown,
Seraphim w/ Special Weapons,,,unknown,
Imagifier,,,unknown,
Dialogus,,,unknown,
Hospitaller,,,unknown,
Celestian Superior,,,unknown,
Celestian w/ Special Weapon,,,unknown,
Celestian w/ Special or Heavy Weapon,,,unknown,
Celestian,,,unknown,
Celestian w/ Simulacrum,,,unknown,
Taddeus the Purifier,,,unknown,
Pious Vorne,,,unknown,
Geminae Superia,,,unknown,
Geminae Superia,,,unknown,
Gotfret de Montbard,,,unknown,
Triumph of Saint Katherine,,,unknown,
Junith Eruita,,,unknown,
Battle Sanctum,,,unknown,
Zephyrim Superior,,,unknown,
Zephyrim,,,unknown,
Anchorite,,,unknown,
Mortifiers,,,unknown,
