model,base_size,notes
Valkyrie,unknown,""
Stormsword,unknown,""
Shadowsword,unknown,""
Hydra,unknown,""
Hellhound,unknown,""
Bane Wolf,unknown,""
Devil Dog,unknown,""
Basilisk,unknown,""
Baneblade,unknown,""
Avenger Strike Fighter,unknown,""
Lightning Strike Fighter,unknown,""
Tauros,unknown,""
Thunderbolt Heavy Fighter,unknown,""
Vendetta,unknown,""
Vulture Gunship,unknown,""
Armageddon Pattern Medusa,unknown,""
Collossus Bombard,unknown,""
Heavy Quad Launcher Battery,unknown,""
Styges Thunderer Seige Tank,unknown,""
Arkurian Pattern Stormblade,unknown,""
Atlas Recovery Tank,unknown,""
Centaur Light Carrier,unknown,""
Gorgon Heavy Transporter,unknown,""
Griffon Mortar Carrier,unknown,""
Macharius Heavy Tank,unknown,""
Macharius Omega,unknown,""
Macharius Vanquisher,unknown,""
Macharius Vulcan,unknown,""
Malcador Annihilator,unknown,""
Malcador Defender,unknown,""
Malcador Heavy Tank,unknown,""
Malcador Infernus,unknown,""
Stygies Destroyer Tank Hunter,unknown,""
Styges Destroyer Tank Hunter,unknown,""
Trojan Support Vehicle,unknown,""
Arkurian Pattern Shadowsword,unknown,""
Minotaur Artillery Tank,unknown,""
