model,base_size,notes
Aradia Madellan,unknown,""
Bullgryn Bone &apos;ead,unknown,""
Bullgryn,unknown,""
Commissar Yarrick,unknown,""
Conscript,unknown,""
Sergeant,unknown,""
Lord Castellan Creed,unknown,""
Lord Commissar,unknown,""
Nork Deddog,unknown,""
Ogryn,unknown,""
Ogryn Bone &apos;ead,unknown,""
Sergeant Harker,unknown,""
Ratling,unknown,""
Rough Rider Sergeant,unknown,""
Rough Rider,unknown,""
Rough Rider w/ Special Weapons,unknown,""
Company Commander,unknown,""
Platoon Commander,unknown,""
Colonel &apos;Iron Hand&apos; Straken,unknown,""
Colour Sergeant Kell,unknown,""
Wyvern,unknown,""
Tempestor Prime,unknown,""
Taurox Prime,unknown,""
Taurox,unknown,""
Stormlord,unknown,""
Scout Sentinel,unknown,""
Tempestor,unknown,""
Scion w/ Special Weapon,unknown,""
Scion,unknown,""
Scion w/ Vox-caster,unknown,""
Manticore,unknown,""
Leman Russ Battle Tank,unknown,""
Leman Russ Eradicator,unknown,""
Leman Russ Exterminator,unknown,""
Leman Russ Vanquisher,unknown,""
Leman Russ Executioner,unknown,""
Leman Russ Demolisher,unknown,""
Leman Russ Punisher,unknown,""
Hellhammer,unknown,""
Doomhammer,unknown,""
Chimera,unknown,""
Banesword,unknown,""
Banehammer,unknown,""
Armoured Sentinel,unknown,""
Minotaur Artillery Tank,unknown,""
Leman Russ Conquerors,unknown,""
Leman Russ Conqueror,unknown,""
Leman Russ Annihilators,unknown,""
Leman Russ Annihilator,unknown,""
Arkurian Pattern Stormhammer,unknown,""
Arkurian Pattern Stormsword,unknown,""
Armageddon Pattern Basilisk,unknown,""
Sentinel Powerlifter,unknown,""
Gryphonne Pattern Chimera,unknown,""
Artemia Pattern Hellhound,unknown,""
Leman Russ Stygies Vanquishers,unknown,""
Leman Russ Stygies Vanquisher,unknown,""
Aquilla Lander,unknown,""
Astropath,unknown,""
Primaris Psyker,unknown,""
Ministorum Priest,unknown,""
Crusader,unknown,""
Servitor,unknown,""
Sly Marbo,unknown,""
Leman Russ Ryza Vanquishers,unknown,""
Leman Russ Ryza Vanquisher,unknown,""
Carnodon,unknown,""
Rein,unknown,""
Raus,unknown,""
