model,base_size,notes
Space Marine Sergeant,unknown,""
Space Marine w/ bolt pistol and chainsword,unknown,""
Space Marine w/ eviscerator,unknown,""
Space Marine w/ special pistol and chainsword,unknown,""
Space Marine w/ special weapon,unknown,""
Attack Bike,unknown,""
Biker Sergeant,unknown,""
Space Marine Biker,unknown,""
Captain,unknown,""
Captain in Gravis Armour,unknown,""
Captain in Terminator Armour,unknown,""
Captain on Bike [Legends],unknown,""
Chaplain,unknown,""
Chaplain in Terminator Armour,unknown,""
Chaplain on Bike [Legends],unknown,""
Company Ancient,unknown,""
Company Champion,unknown,""
Space Marine Veteran,unknown,""
Veteran Sergeant,unknown,""
Dreadnought,unknown,""
Drop Pod,unknown,""
Hellblaster Sergeant,unknown,""
Hellblaster,unknown,""
Imperial Space Marine [Legends],unknown,""
Inceptor,unknown,""
Inceptor Sergeant,unknown,""
Intercessor,unknown,""
Intercessor Sergeant,unknown,""
Land Raider,unknown,""
Land Raider Crusader,unknown,""
Land Raider Redeemer,unknown,""
Land Raider Excelsior [Legends],unknown,""
Land Speeder,unknown,""
Librarian,unknown,""
Librarian in Terminator Armour,unknown,""
Librarian on Bike [Legends],unknown,""
Predator,unknown,""
Primaris Ancient,unknown,""
Primaris Lieutenant,unknown,""
Razorback,unknown,""
Rhino,unknown,""
Rhino Primaris [Legends],unknown,""
Sanguinary Novitiate,unknown,""
Scout Biker,unknown,""
Scout Biker Sergeant,unknown,""
Scout,unknown,""
Scout Sergeant,unknown,""
Servitor,unknown,""
Stormraven Gunship,unknown,""
Space Marine,unknown,""
Space Marine Sergeant,unknown,""
Space Marine (Heavy weapon),unknown,""
Space Marine (Special weapon),unknown,""
Techmarine,unknown,""
Techmarine on Bike [Legends],unknown,""
Terminator Sergeant,unknown,""
Terminator,unknown,""
Terminator Sergeant,unknown,""
Terminator,unknown,""
Veteran Sergeant,unknown,""
Space Marine Veteran,unknown,""
Whirlwind,unknown,""
Vindicator,unknown,""
Commander Dante,unknown,""
Captain Tycho,unknown,""
Tycho the Lost,unknown,""
Librarian Dreadnought,unknown,""
Chief Librarian Mephiston (Primaris),unknown,""
The Sanguinor,unknown,""
Astorath,unknown,""
Sanguinary Priest,unknown,""
Sanguinary Priest on Bike [Legends],unknown,""
Brother Corbulo,unknown,""
Sanguinary Ancient,unknown,""
Terminator Ancient,unknown,""
Death Company Marine,unknown,""
Lemartes,unknown,""
Sanguinary Guard,unknown,""
Death Company Dreadnought,unknown,""
Furioso Dreadnought,unknown,""
Baal Predator,unknown,""
Gabriel Seth,unknown,""
Primaris Librarian,unknown,""
Primaris Captain,unknown,""
Primaris Chaplain,unknown,""
Primaris Apothecary,unknown,""
Reiver Sergeant,unknown,""
Reiver,unknown,""
Aggressor,unknown,""
Aggressor Sergeant,unknown,""
Redemptor Dreadnought,unknown,""
Repulsor,unknown,""
Captain in Cataphractii Armour,unknown,""
Lieutenant,unknown,""
Cataphractii Sergeant,unknown,""
Cataphractii Terminator,unknown,""
Tartaros Sergeant,unknown,""
Tartaros Terminator,unknown,""
Contemptor Dreadnought,unknown,""
Hunter,unknown,""
Stalker,unknown,""
Land Speeder Storm,unknown,""
Stormhawk Interceptor,unknown,""
Stormtalon Gunship,unknown,""
Land Raider Variant (Open play),unknown,""
Terminus Ultra (Open play),unknown,""
Angel Infernus (Open play),unknown,""
Captain in Phobos Armour,unknown,""
Infiltrator Sergeant,unknown,""
Infiltrator Helix Adept,unknown,""
Infilltrator,unknown,""
Infiltrator w/ Comms Array,unknown,""
Librarian in Phobos Armour,unknown,""
Lieutenant in Phobos Armour,unknown,""
Suppressor Sergeant,unknown,""
Suppressor,unknown,""
Repulsor Executioner,unknown,""
Incursor Sergeant,unknown,""
Incursor,unknown,""
Incursor w/ Haywire Mine,unknown,""
Haywire Mine,unknown,""
Chief Librarian Mephiston [Legends],unknown,""
Intercessor,unknown,""
Intercessor with CCW,unknown,""
