model,base_size,notes
Master,unknown,""
Special Weapon Marine,unknown,""
Scout Sergeant,unknown,""
Heavy Weapon Scout,unknown,""
Scout (Shotgun),unknown,""
Scout (Boltgun),unknown,""
Scout (Combat Knife),unknown,""
Scout (Sniper rifle),unknown,""
Intercessor,unknown,""
Intercessor Sergeant,unknown,""
Inceptor,unknown,""
Inceptor Sergeant,unknown,""
Assault Marine Sergeant,unknown,""
Space Marine (Bolt Pistol),unknown,""
Space Marine (Eviscerator),unknown,""
Space Marine (Flamer),unknown,""
Space Marine (Plasma pistol),unknown,""
Space Marine (Grav Cannon),unknown,""
Space Marine (Plasma Cannon),unknown,""
Space Marine (Multi-melta),unknown,""
Space Marine (Lascannon),unknown,""
Space Marine (Heavy Bolter),unknown,""
Space Marine (Missile launcher),unknown,""
Space Marine,unknown,""
Hellblaster,unknown,""
Hellblaster Sergeant,unknown,""
Razorback,unknown,""
Servitor,unknown,""
Servitor (servo arm),unknown,""
Servitor (Plasma Cannon),unknown,""
Servitor (multi-melta),unknown,""
Servitor (Heavy Bolter),unknown,""
Whirlwind,unknown,""
Sammael on Corvex,unknown,""
Sammael in Sableclaw,unknown,""
Deathwing Terminator,unknown,""
Deathwing Sergeant,unknown,""
Deathwing Knight,unknown,""
Knight Master,unknown,""
Ravenwing Sergeant,unknown,""
Ravenwing Black Knight,unknown,""
Ravenwing Huntmaster,unknown,""
Ravenwing Black Knight (Grenade Launcher),unknown,""
Heavy Weapon Marine,unknown,""
Aggressor Sergeant,unknown,""
Aggressor,unknown,""
Reiver Sergeant,unknown,""
Reiver,unknown,""
Repulsor,unknown,""
Scout Biker Sergeant,unknown,""
Scout Biker (Grenade Launcher),unknown,""
Scout Biker,unknown,""
Tartaros Terminator,unknown,""
Tartaros Sergeant,unknown,""
Cataphractii Terminator,unknown,""
Cataphractii Sergeant,unknown,""
Primaris Master,unknown,""
Lieutenant,unknown,""
Solemnus Aggressor,unknown,""
Suppressor Sergeant,unknown,""
Suppressor,unknown,""
Infiltrator Sergeant,unknown,""
Infiltrator,unknown,""
Infiltrator Helix Adept,unknown,""
Lieutenant in Phobos Armour,unknown,""
Librarian in Phobos Armour,unknown,""
Impulsor,unknown,""
Incursor Sergeant,unknown,""
Incursor,unknown,""
