model,base_size,base_short_axis,base_shape,notes
Veteran,,,unknown,
Watch Sergeant,,,unknown,
Black Shield,,,unknown,
Veteran w/ Heavy Weapon,,,unknown,
Deathwatch Terminator Sergeant,,,unknown,
Deathwatch Vanguard Sergeant,,,unknown,
Deathwatch Biker Sergeant,,,unknown,
Vanguard Veteran,,,unknown,
Biker,,,unknown,
Biker w/ Teleport Homer,,,unknown,
Terminator,,,unknown,
Terminator w/ Heavy Weapon,,,unknown,
Reiver,,,unknown,
Inceptor,,,unknown,
Tartaros Terminator,,,unknown,
Tartaros Sergeant,,,unknown,
