model,base_size,notes
Deimos Pattern Relic Predator,unknown,""
Lias Issodon,unknown,""
Lord High Commander Carab Culln,unknown,""
Lugft Huron,unknown,""
Armenneus Valthex,unknown,""
Captain Corien Sumatris,unknown,""
Arch-Centurion Carnac Commodus,unknown,""
Lord Asterion Moloc,unknown,""
Chaplain Ivanus Enkomi,unknown,""
Magister Sevrin Loth,unknown,""
Tyberos the Red Wake,unknown,""
Chaplain Dreadnought Titus,unknown,""
Lieutenant Commander Anton Narvaez,unknown,""
Captain Tarnus Vale,unknown,""
Malakim Phoros,unknown,""
Captain Mordaci Blaylock,unknown,""
Captain Pellas Mir&apos;san,unknown,""
Bray&apos;arth Ashmantle,unknown,""
Harath Shen,unknown,""
Ahazra Redth,unknown,""
High Chaplain Thulsa Kane,unknown,""
Captain Silas Alberec,unknown,""
Knight-Captain Elam Courbray,unknown,""
Vaylund Cal,unknown,""
Captain Zhrukhal Androcles,unknown,""
Hecaton Aiakos,unknown,""
Deimos Pattern Vindicator Laser Destroyer,unknown,""
Infernum Pattern Razorback,unknown,""
Relic Land Raider Proteus,unknown,""
Land Raider Helios,unknown,""
Land Raider Prometheus,unknown,""
Land Raider Achilles,unknown,""
Mortis Dreadnought,unknown,""
Siege Dreadnought,unknown,""
Contemptor Mortis Dreadnought,unknown,""
Chaplain Venerable Dreadnought,unknown,""
Relic Sicaran Battle Tank,unknown,""
Relic Sicaran Venator Tank Destroyer,unknown,""
Relic Sicaran Punisher Assault Tank,unknown,""
Relic Spartan Assault Tank,unknown,""
Relic Typhon Heavy Siege Tank,unknown,""
Relic Cerberus Heavy Tank Destroyer,unknown,""
Relic Fellblade Super-heavy Tank,unknown,""
Relic Falchion Super-heavy Tank Destroyer,unknown,""
Relic Mastodon Super-heavy Siege Transport,unknown,""
Relic Contemptor Dreadnought,unknown,""
Relic Deredeo Dreadnought,unknown,""
Relic Leviathan Dreadnought,unknown,""
Land Speeder Tempest,unknown,""
Relic Javelin Attack Speeder,unknown,""
Xiphon Interceptor,unknown,""
Storm Eagle Assault Gunship,unknown,""
Storm Eagle Assault Gunship - ROC Pattern,unknown,""
Fire Raptor Assault Gunship,unknown,""
Caestus Assault Ram,unknown,""
Thunderhawk Assault Gunship,unknown,""
Thunderhawk Transporter,unknown,""
Sokar Pattern Stormbird,unknown,""
Damocles Command Rhino,unknown,""
Whirlwind Hyperios,unknown,""
Relic Whirlwind Scorpius,unknown,""
Rapier Carrier,unknown,""
Space Marine Gunner,unknown,""
Tarantula Sentry Gun,unknown,""
Tarantula Air Defence Battery,unknown,""
Lucius Pattern Dreadnought Drop Pod,unknown,""
Deathstorm Drop Pod,unknown,""
Tacticus Bunker,unknown,""
Bunker Annex,unknown,""
Astraeus Super-heavy Tank,unknown,""
Carab Culln the Risen,unknown,""
Casan Sabius,unknown,""
Sirae Karagon,unknown,""
Relic Sicaran Omega Tank Destroyer,unknown,""
Relic Sicaran Arcus Strike Tank,unknown,""
