model,base_size,base_short_axis,base_shape,notes
Grey Knight,,,unknown,
Grey Knight Justicar,,,unknown,
Brother-Captain,,,unknown,
Brotherhood Ancient,,,unknown,
Brother-Captain Stern,,,unknown,
Brotherhood Champion,,,unknown,
Castellan Crowe,,,unknown,
Grand Master,,,unknown,
Grand Master Voldus,,,unknown,
Interceptor Justicar,,,unknown,
Grey Knight Terminator,,,unknown,
Grey Knight Terminator Justicar,,,unknown,
Knight of the Flame,,,unknown,
Paladin Ancient,,,unknown,
Apothecary,,,unknown,
Purgator Justicar,,,unknown,
Nemesis Dreadknight,,,unknown,
Vortimer Pattern Razorback,,,unknown,
Vortimer Pattern Land Raider Redeemer,,,unknown,
Doomglaive Dreadnought,,,unknown,
Thunderhawk Assault Gunship,,,unknown,
Chaplain,,,unknown,
Grand Master in Nemesis Dreadknight,,,unknown,
