model,base_size,base_short_axis,base_shape,notes
Knight Crusader,,,unknown,
Knight Errant,,,unknown,
Knight Gallant,,,unknown,
Knight Paladin,,,unknown,
Knight Warden,,,unknown,
Cerastus Knight-Atropos,,,unknown,
Acastus Knight Porphyrion,,,unknown,
Cerastus Knight-Acheron,,,unknown,
Cerastus Knight-Castigator,,,unknown,
Cerastus Knight-Lancer,,,unknown,
Questoris Knight Magaera,,,unknown,
Questoris Knight Styrix,,,unknown,
Armiger Warglaive,,,unknown,
Canis Rex,,,unknown,
Armiger Helverin,,,unknown,
Knight Castellan,,,unknown,
Knight Valiant,,,unknown,
Knight Preceptor,,,unknown,
Sacristan Forgeshrine,,,unknown,
Acastus Knight Asterius,,,unknown,
Armiger Moirax,,,unknown,
