model,base_size,base_short_axis,base_shape,notes
Warboss,,,unknown,
Warboss in Mega Armour [Legends],,,unknown,
Warboss on Warbike,,,unknown,
Weirdboy,,,unknown,
Big Mek [Legends],,,unknown,
Grot Oiler,,,unknown,
Big Mek in Mega Armour,,,unknown,
Big Mek on Warbike [Legends],,,unknown,
Boss Snikrot,,,unknown,
Mek,,,unknown,
Grot Orderly (Index),,,unknown,
Painboy,,,unknown,
Painboy on Warbike [Legends],,,unknown,
Ghazghkull Thraka,,,unknown,
Kaptin Badrukk,,,unknown,
Boss Zagstruk,,,unknown,
Mad Dok Grotsnik,,,unknown,
Boss Nob,,,unknown,
Ork Boy W/ Slugga &amp; Choppa,,,unknown,
Ork Boy W/ Shoota,,,unknown,
Ork Boy W/ &apos;Eavy Weapon,,,unknown,
Gretchin,,,unknown,
Runtherd,,,unknown,
Boss Nob,,,unknown,
Nob,,,unknown,
Nob with Waaagh! Banner,,,unknown,
Boss Nob on Warbike,,,unknown,
Nob on Warbike,,,unknown,
Burna Boy,,,unknown,
Spanner,,,unknown,
Meganob W/ PK,,,unknown,
Meganob w/ Saws,,,unknown,
Boss Meganob w/ PK,,,unknown,
Boss Meganob w/ Saws,,,unknown,
Kommando,,,unknown,
Kommando W/ &apos;Eavy Weapon [Legends],,,unknown,
Boss Nob,,,unknown,
Trukk,,,unknown,
Stormboy,,,unknown,
Boss Nob,,,unknown,
DeffKopta,,,unknown,
Burna-bommer,,,unknown,
Blitza-bommer,,,unknown,
Wazbom Blastajet,,,unknown,
Warbiker,,,unknown,
Boss Nob,,,unknown,
Wartrakk,,,unknown,
Skorcha,,,unknown,
Warbuggy,,,unknown,
Grot Gunner,,,unknown,
Gun,,,unknown,
Gun,,,unknown,
Deff Dread,,,unknown,
Killa Kan,,,unknown,
Morkanaut,,,unknown,
Gorkanaut,,,unknown,
Loota,,,unknown,
Spanner,,,unknown,
Kaptin,,,unknown,
Flash Git,,,unknown,
Stompa,,,unknown,
Tankbusta,,,unknown,
Boss Nob,,,unknown,
Tankbusta w/ Hammer,,,unknown,
Tankbusta w/ Pistols,,,unknown,
Zhadsnark Da Ripper,,,unknown,
Ork Mek Boss Buzzgob,,,unknown,
Grot Tank,,,unknown,
Kommanda,,,unknown,
Grot Mega-Tank,,,unknown,
Squiggoth,,,unknown,
Meka-Dread,,,unknown,
Lifta Wagon,,,unknown,
Big Trakk,,,unknown,
Kill Tank,,,unknown,
&apos;Chinork&apos; Warkopta,,,unknown,
Kustom Stompa,,,unknown,
Gargantuan Squiggoth,,,unknown,
Grot Bomm Launcha (Open/Narrative),,,unknown,
Attack Fighta (Open/Narrative),,,unknown,
Fighta-Bommer (Open/Narrative),,,unknown,
Big Mek W/ Shokk Attack Gun,,,unknown,
Deffkilla Wartrike,,,unknown,
Shokkjump Dragstas,,,unknown,
Rukkatrukk Squigbuggy,,,unknown,
Boomdakka Snazzwagon,,,unknown,
Gunwagon,,,unknown,
Kustom Boosta Blastas,,,unknown,
Megatrakk Scrapjet,,,unknown,
Mekboy Workshop,,,unknown,
Dethrolla Battle Fortress,,,unknown,
Kill Krusha,,,unknown,
Kart,,,unknown,
Wagon,,,unknown,
Big Mek W/ Kustom Force Field,,,unknown,
Da Red Gobbo [Legends],,,unknown,
Ghazghkull Thraka (Codex),,,unknown,
Makari,,,unknown,
