model,base_size,notes
MV1 Gun Drone,unknown,""
MV4 Shield Drone,unknown,""
MV7 Marker Drone,unknown,""
MV5 Stealth Drone,unknown,""
MV8 Missile Drone,unknown,""
MV17 Interceptor Drone,unknown,""
MV31 Pulse Accelerator Drone,unknown,""
MV33 Grav-inhibitor Drone,unknown,""
MV52 Shield Drone,unknown,""
MV84 Shielded Missile Drone,unknown,""
MB3 Recon Drone,unknown,""
Vespid Strain Leader,unknown,""
Vespid Stingwing,unknown,""
Fire Warrior w/ Pulse Pistol,unknown,""
Fire Warrior Shas&apos;ui,unknown,""
Fire Warrior,unknown,""
Fire Warrior w/ Pulse Carbine,unknown,""
Fire Warrior Shas&apos;ui,unknown,""
Fire Warrior w/ Pulse Rifle,unknown,""
Fire Warrior w/ Pulse Pistol + Pulse Carbine,unknown,""
Fire Warrior w/ Pulse Pistol + Pulse Rifle,unknown,""
Pathfinder,unknown,""
Pathfinder Shas&apos;ui,unknown,""
Pathfinder w/ Rail Rifle,unknown,""
Pathfinder w/ Ion Rifle,unknown,""
MV71 Sniper Drone,unknown,""
Firesight Marksman,unknown,""
TX4 Piranha,unknown,""
TY7 Devilfish,unknown,""
Longstrike,unknown,""
TX7 Hammerhead Gunship,unknown,""
TX78 Sky Ray Gunship,unknown,""
KV128 Stormsurge,unknown,""
XV95 Ghostkeel Battlesuit,unknown,""
XV104 Riptide Battlesuit,unknown,""
Kroot,unknown,""
Krootox Rider,unknown,""
Kroot Hound,unknown,""
AX3 Razorshark Strike Fighter,unknown,""
AX39 Sun Shark Bomber,unknown,""
Crisis Shas&apos;ui,unknown,""
Crisis Shas&apos;vre,unknown,""
Crisis Bodyguard,unknown,""
Broadside Shas&apos;ui,unknown,""
Broadside Shas&apos;vre,unknown,""
Stealth Shas&apos;vre,unknown,""
Stealth Shas&apos;ui w/ Fusion blaster,unknown,""
Stealth Shas&apos;ui w/ Burst Cannon,unknown,""
Kroot Shaper,unknown,""
Tidewall Gunrig,unknown,""
Tidewall Droneport,unknown,""
Tidewall Shieldline,unknown,""
Tidewall Defence Platform,unknown,""
Cadre Fireblade,unknown,""
Ethereal,unknown,""
Darkstrider,unknown,""
Commander Shadowsun,unknown,""
MV37 Advanced Guardian Drone,unknown,""
MV62 Command-link Drone,unknown,""
Commander Farsight,unknown,""
Aun&apos;Shi,unknown,""
Aun&apos;Va,unknown,""
Ethereal Guard,unknown,""
Commander in XV86 Coldstar Battlesuit,unknown,""
Shas&apos;o R&apos;myr,unknown,""
Shas&apos;o R&apos;alai,unknown,""
Blacklight Marker Drone,unknown,""
Commander in XV81 Crisis Battlesuit,unknown,""
DX-4 Technical Drone,unknown,""
Commander in XV84 Crisis Battlesuit,unknown,""
XV9 Hazard Battlesuit,unknown,""
XV109 Y&apos;vahra Battlesuit,unknown,""
XV107 R&apos;varna Battlesuit,unknown,""
KX139 Ta&apos;unar Supremacy Armour,unknown,""
Tetra Scout Speeder,unknown,""
TX-42 Piranha w/ 2x Fusion blaster,unknown,""
TX-42 Piranha w/ 2x Missile pod,unknown,""
TX-42 Piranha w/ 2x Plasma rifle,unknown,""
TX-42 Piranha w/ 2x Rail rifle,unknown,""
Heavy Gun Drone w/ 2x BC,unknown,""
Heavy Gun Drone w/  BC &amp; Markerlight,unknown,""
TX7 Heavy Bombardment Hammerhead Gunship,unknown,""
TX7 Fire Support Hammerhead Gunship,unknown,""
DX6 &apos;Remora&apos; Stealth Drone,unknown,""
DX6 &apos;Remora&apos; Stealth Drone w/ Seeker missile,unknown,""
DX6 &apos;Remora&apos; Stealth Drone w/ 2x Seeker missile,unknown,""
Barracuda AX-5-2,unknown,""
Tiger Shark,unknown,""
Tiger Shark AX-1-0,unknown,""
Orca Dropship,unknown,""
Manta Super-heavy Dropship,unknown,""
Remote Sensor Tower,unknown,""
2x MV1 Gun Drone,unknown,""
Drone Sentry Turret w/ 2x Burst cannon,unknown,""
Drone Sentry Turret w/ 2x Missile pod,unknown,""
Drone Sentry Turret w/ 2x Fusion blaster,unknown,""
Drone Sentry Turret w/ 2x Plasma rifle,unknown,""
MV1 Gun Drone,unknown,""
Commander in XV8 Crisis Battlesuit,unknown,""
Commander in XV85 Enforcer Battlesuit,unknown,""
2x MV1 Gun Drone,unknown,""
Knarloc Rider,unknown,""
Great Knarloc,unknown,""
Dahyak Grekh,unknown,""
Commander Brightsword,unknown,""
Commander Bravestorm,unknown,""
Shas&apos;o Sha&apos;vastos,unknown,""
Shas&apos;o Arra&apos;kon,unknown,""
Sub-commander Torchstar,unknown,""
Broadside Shas&apos;vre Ob&apos;lotai 9-0,unknown,""
O&apos;Vesa,unknown,""
MV36 Guardian Drone,unknown,""
DS8 Tactical Support Turret w/ Missile pod,unknown,""
DS8 Tactical Support Turret w/ SMS,unknown,""
